group_id,post_id,comment_id,text,likes
182032975,1094046,1094049,"Ну мне кажется это больше связано с тем, что женщины склонны к самопожертвованию ради других. В самой Игре всегда меньше женщин, потому что им нужна очень веская причина в это ввязаться. Потому они чаще делают это ради близких. В то же время мужчины, им для мотивации достаточно жадности и эгоизма. Хёнджу, которую тут расхвалили, присоединяется к игре ради себя, ничего особенного. Не такой уж сложный персонаж, но трансовость хорошо прописали, ибо даже на пороге смерти волноваться, что в тебе увидят мужчину (момент с просьбой отвернуться), очень типично для них.",109
182032975,1094046,1094051,"Но там не у всех женщин мотивация была в детях… девочка, которую застрелили из-за того, что ее толкнули, и она не успела забежать в комнату, ничего о детях не упоминала
Ниже дополнили, что у шаманки и девочки с пирсингом тоже таких историй не было. Так что мимо, это мимо все",45
182032975,1094046,1094055,Повод для обсера настолько из пальца высосан...,38
182032975,1094046,1094086,"Господи кымджа(мать которая ввязалась в это из-за сына) просто бесподобна
Такая теплая женщина вызывающая сочувствие 
Очень понравился персонаж",34
182032975,1094046,1094057,"Уже придераются ко всему подряд, женские персы отличные, особенно бабулька",24
182032975,1094026,1094031,"Да как обычно от YG будут модели или бывшие стажёры 😎
Ну а насчёт Соён. Она скорее исключение, чем правило. Участив в шоу на выживание не гарантирует успеха. Да что там, даже выход в финал и попадание во временную группу это не гарантируют. Сколько участниц IOI сейчас успешны? Соми, Чонха, Сэджон и всё пожалуй.",21
182032975,1094026,1094028,KQ и YG 🫨,16
182032975,1094026,1094030,А zb1 разве не популярны в Корее?,16
182032975,1094026,1094085,"Я думаю YG определились с составом новой мужской групппы и отправляют стажера который не был добавлен в группу, это хорошая возможность для него , если уйдет из yg, его приметят другие агенства, например их бывшие трейни в основном идут в cube.",10
182032975,1094026,1094041,"Многим шоу на выживание карьеру поломали, если можно так выразиться.
Идут туда  чтобы стать хоть чуть-чуть популярнее, а в итоге ничего. Только группу разделяют 
Как в случае up10tion когда двоих в соло отправили",4
182032975,1093801,1093812,"случайно опубликовать такой контент, когда в стране траур и все скорбят. мда, гений, теперь огребет по полной",238
182032975,1093801,1093905,Сколько порно зависимых в комментариях прибежало защищать эту мерзкую индустрию 🤢,200
182032975,1093801,1093808,"корейские мужики и их вечное проигрывание челленджа ""быть нормальным человеком""",145
182032975,1093801,1093811,"я решила посмотреть этот сезон только из-за его персонажа хотя говорила себе что не буду потому что абсолютно весь мужской каст состоит из преступников.. и вот снова мэны делают очередную хрень,теперь верните мне мое потраченное время🥲 
тем более публиковать  что-либо в такое время когда вся страна скорбит??",113
182032975,1093801,1093851,Всех му актеров кальмара надо отправить на реальную игру,92
182032975,1093786,1093806,"20. [+10, -2] Лучшая костная структура в индустрии.

этот коммент выглядит как название награды в конце года на корейской премии 😅 лучшая костная структура в индустрии, лучший жкт в индустрии, почки года. всё никак не привыкну к их комплиментам 😆
Хёнджин красавчик 👍",113
182032975,1093786,1093794,"Хенджин it boy 4 поколения, папа, король🔥
Ну кто еще мог просто состричь волосы и стать главной звездой последних дней😀 Он такой шикарный с этой длиной волос, я не могу наглядеться🤤 
И что мне больше всего нравится в нем, так это то, что ему плевать на мнение других, захотел состричь волос - сделал, и ведь даже по его ауре сейчас ощущается что он кайфует от себя🔥
Залетел в мировые тренды, набрал бешеное количество лайков в инсте, завирусился в Корее, Японии и вообще по всему миру)",110
182032975,1093786,1093798,"Мало кого из молодого поколения (4 и 5 я имею ввиду) я еще могу представить с бритой головой, но не удивлюсь, если это станет трендом, учитывая реакцию общественности на стрижку Хенджина 😀 Всегда считала Хенджина красивым парнем, но сейчас с короткой стрижкой он прям для меня по новому раскрылся) ему очень идет, надеюсь подольше получится насладиться такой длиной😀",70
182032975,1093786,1093813,"экспериментирует со стилем. красив, что бы ни сделал",55
182032975,1093786,1093791,"Как же он хорош, я не могууууу🤤",52
182032975,1093678,1093682,как же ужасно завершается этот год. сил и соболезновения всем близким и родным этих людей :с это звучит так грустно и больно.,174
182032975,1093678,1093694,"целый день думала о Южной Корее, в тот раз в Актау, теперь тут 😭

боюсь вообще думать, что чувствовали люди на борту, пусть упокоятся их души 🙏",57
182032975,1093678,1093702,"Кто-то написал что некоторые пассажиры были молодыми к-поп фанатами, возвращающимся с AAA в Бангкоке...:(",49
182032975,1093678,1093768,"И так страшно летать на самолётах и тут ещё столько разбившихся самолётов за последнее время 😢, бедные люди,такое горе.",10
182032975,1093678,1093770,"Очень жаль родных и близких погибших, им сейчас неимоверно больно. Никакие соболезнования не уймут эту боль - только время.  Так жалко их.",3
37589367,442537,442545,"Разочарована в Чон Усоне. Я считаю, что, если ты мужчина, то ОБЯЗАН высказаться и защитить девушку (хотя бы как мать ребенка), с которой встречался и с которой осознанно решил завести потомство. 

Корейское общество, как всегда, бьет днище. Почему она должна объясняться, почему должна доказывать, что её ребенок не ошибка? С чего бы людям перешептываться о ней за её спиной? 

Как всегда, мужчинам все дается легко в этой жизни.

Надеюсь, что Габи и её ребенок будут здоровы и счастливы ❤️",94
37589367,442537,442557,"Да это их дело. Не требовала, а зачем сделала все, что бы об этом узнали. Он тоже, тот еще ходок. 51 год, девка молодая, красивенная, что надо? Нам их не понять.",3
